rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
37,37,1,37,37,"{'max_depth': 3, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 3, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 3, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 3, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 3, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 3, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 4, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 4, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 4, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 4, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 4, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 4, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 5, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 5, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 5, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 5, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 5, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 5, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 6, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 6, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 6, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 6, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 6, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 6, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 7, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 7, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 7, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 7, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 7, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 7, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 8, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 8, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 8, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 8, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 8, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 8, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 9, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 9, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 9, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 9, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 9, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 9, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 10, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 10, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 10, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 10, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 10, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 10, 'min_child_weight': 6}"
37,37,1,37,37,"{'max_depth': 12, 'min_child_weight': 1}"
37,46,46,37,37,"{'max_depth': 12, 'min_child_weight': 2}"
1,1,10,1,1,"{'max_depth': 12, 'min_child_weight': 3}"
1,10,19,1,1,"{'max_depth': 12, 'min_child_weight': 4}"
1,28,37,1,1,"{'max_depth': 12, 'min_child_weight': 5}"
1,10,19,1,1,"{'max_depth': 12, 'min_child_weight': 6}"
